Annotation order,id,Position,System A predictions,System A prediction count
22,22e58011-8190-5bc3-90a7-beca5ea14b55,Middle Python Developer,azure; docker; kubernetes; python,4
23,28fb9103-dca1-509b-9666-2112e564071a,Data Analytics Engineer,apache spark; docker; pandas; python; sql,5
24,2a872da1-da34-59a3-8053-b3f97186f460,Python developer,none,0
25,2b70784f-2e41-5aeb-a4bc-466ea6fc1829,data scientist junior,machine learning; python; scikit-learn,3
26,2c2d9912-e7ea-575c-8c5d-67d0601cd2ba,Strong Junior or Middle ML Engineer for RaccoonDoc IDP,amazon web services; azure; docker; machine learning; natural language processing; python,6
27,2c6a15a2-1902-59f7-a856-04c476b7c10f,Senior Big Data Engineer for Consumer Reporting Company,python; sql; terraform,3
28,2cd87f9f-2344-5f4a-8116-478cee403b91,Senior Data Engineer,python,1
29,2e2e86b8-9bd7-5275-9596-0edd9dd7c208,Back-end Developer (Python),mongodb; postgresql; python,3
30,2eb6bd61-5c73-57d2-bc25-f532c6245797,Machine Learning Engineer,python,1
31,3352912d-82a4-5bbd-9127-8fbc78449742,Jr. Software Developer,azure; python,2
32,356b9dbd-2cbe-5063-82d8-39c66f5576f9,Data Platform Engineer,kubernetes; postgresql; terraform,3
33,367d8145-d3bb-511f-a184-f69337f67381,Data Engineer,apache spark; git; machine learning; pandas; python; sql,6
34,368f1e77-9ad5-503d-a2e5-6ebd0a0b4fe3,Python developer,mongodb; python; sql,3
35,3a6e47d0-989c-5d47-a125-08efa31c5146,"NLP Engineer, Machine Learning Engineer",machine learning; python; scikit-learn,3
36,3b0792ff-68f7-52d1-ad81-3b2104877c07,Data Analyst,postgresql; python; sql,3
37,3d574d75-1ac4-5126-b6ca-cdff1d9e9730,Team/Tech Lead Backend Engineer,none,0
38,3e9c3c7a-846d-55d4-9479-2a43e03df1b1,Trainee Database Developer,sql,1
39,3feaac25-4519-59ae-bb67-d944f1510c63,Middle+/Senior Python developer,git; postgresql; python,3
40,40ebcd9b-c5c8-56ff-8ce1-dc4d2f063d37,Matlab Engineer,git,1
41,45700d9b-de53-5764-acf4-adfd1110aa00,Python Software Engineer / Web3 Research Engineer,machine learning; python,2
42,46214003-5117-588e-9004-c40c12bc51d5,Data Analyst,git; python; sql,3
43,4642168b-bee2-51c2-ac21-79c1e2f16fdc,Data Science Manager,machine learning; python; sql,3
44,47cd37e2-ffe3-55fb-ae4e-fe814f20de59,Backend Engineer,python,1
45,487523f9-a9e2-58d7-b46c-6d176d6572e2,Senior/Lead Python Developer,python; sql,2
46,48d760a5-dee2-5e68-915c-7aca027433b2,Web Analyst for PMI,sql,1
47,49bc7fe8-469e-5d03-b6e1-41ebe08eb4ec,Senior Software Engineer - .Net & Python,machine learning; mongodb; natural language processing; postgresql; python; sql,6
48,4a0cc79d-6444-58c6-8d3a-b8df8ac6057f,NLP/AI Senior Engineer,azure; git; python; sql,4
49,4ba18117-fe8a-51e1-a344-a49a17e275b9,Senior Python developer,elasticsearch; git; postgresql; python,4
50,4d207dd3-f0ce-5acc-b424-bc757dbe2653,"Full Stack Developer (Python, React+GIS skills)",azure; docker; machine learning; mongodb; postgresql; python; sql,7
51,4d6f28d6-c770-5ac4-94d0-e97e26b59df2,Middle  Data Science Engineer,power bi; python; sql,3
52,4d8bd07a-45e0-5539-9ec1-ed2c2a6d12d2,Data Scientist / Product Analyst,pandas; power bi; python; scikit-learn; sql,5
53,4ee8ef87-d38a-5dcb-b66d-7e4c12f8a2b6,Senior Python Developer (6 months project),azure; docker; git; kubernetes; mongodb; postgresql; python,7
54,4ffb1d33-859a-50ec-8fe8-cc38c0bc28bc,Middle Python Developer,azure; git; postgresql; python,4
55,50ed4097-aeb3-5130-ae83-05b7a7385880,Senior Data Engineer,mongodb; python; sql,3
56,53c599f1-68e7-51dd-b59f-e2f4dfeebb80,CTO/Product,git; python,2
57,5419aff1-f72c-5606-8b9d-a496d0e7db92,Qlik/Power BI,amazon web services; azure; google cloud platform; sql,4
58,552c8b47-e978-56b8-91ab-1e81bf69c6fb,Data Engineer,apache spark; azure; python; sql,4
59,55a3634d-96a4-5258-8962-a8cc5ad295cd,Junior Machine learning / Computer vision Engineer,machine learning; python,2
60,577143c6-37ba-5182-9a46-d27c23968e2e,Senior Integration Engineer,python; sql,2
61,59356466-6a9c-5f08-862a-8d2d8e0c3ff7,Data Scientist,machine learning; python,2
62,5a61e326-71fd-569b-ac53-7e9a7291d177,ETL Specialist,python; terraform,2
63,5b069204-3826-57e8-b607-ce2781e58916,Junior Python developer,docker; git; postgresql; python; sql,5
64,5d972d23-7504-50ff-ae95-c933c5c65652,Data Engineer,apache airflow; elasticsearch; git; python,4
65,5fd6dbb8-c613-5af7-bfc9-3d0faacf6a2a,BI Engineer,pandas; postgresql; python; sql,4
66,5ff94982-cafe-5b3d-995d-711bb8ff6fa5,# Senior Python Developer,python,1
67,601504fe-9718-55ee-bbdc-bc1dd54f4a48,Snr MS SQL Server Engineer (with deep SSAS experience),sql,1
68,60dc7831-3cc8-5179-a3fb-7190657ba5d1,Strong/Middle Web Developer Python(Django),docker; postgresql; python,3
69,63c88e34-4290-5c7f-9244-e917f9ab2055,Senior Data Engineer (Python),docker; git; google cloud platform; python; terraform,5
70,672ccd5e-eb32-5aaa-8288-ac49e46add7a,Junior/Middle Python Developer (with C++ knowledge),git; python,2
71,684059e5-fe20-5fa7-ad77-74bb3694718a,Database Administrator,mongodb,1
72,6a365c54-aa0e-53a0-966d-5f99d013468a,Data Analyst/ DWH Developer,git; postgresql; python; sql,4
73,6a8b8bec-783e-50f3-ada1-8ea6f8072e17,Data Scientist,python; sql,2
74,6a9340a8-113a-58ce-9903-f4a7c0d048a0,Cloud Engineer,azure; python,2
75,6b4fd424-bfcb-5d1e-8d06-46c2225af6c0,Data Analyst,machine learning; python; sql,3
76,713d83dc-e3cc-5f31-9d34-5b2f8d957167,Lead Machine Learning Engineer,machine learning; python; scikit-learn,3
77,717a4853-da65-57a6-b253-e2f7ed2ec443,Senior Full Stack Developer (Poland),postgresql; python; sql,3
78,72da340f-3e69-5085-a89e-e6140b3216fb,Backend Engineer,git; postgresql; python; sql,4
79,733ca3e7-8502-578b-972c-785d9522cb62,Computer vision/AI developer for Norwegian Aquatech company,machine learning; python,2
80,73a5455e-c53b-5e9b-9065-7132248a67e7,Senior Data Engineer (Customer behavior),docker; kubernetes; machine learning; sql,4
81,75126653-9838-5ea6-a291-fc9becb282ab,"Full-stack Python Developer (Fintech, Investments)",docker; python,2
82,77bc3ea8-0224-54cd-8d2a-3bbc5c853849,Quantitative Developer,python,1
83,78362cd9-b4c5-5862-bd94-8b12017ead42,Middle python developer,postgresql; python,2
84,784bb0e6-83f9-5596-8636-6ce7139caa72,Market Researcher,none,0
85,799e37b8-67c3-59e7-821a-9a72b1445475,Solidity (also Web3.js & Full Stack) developer - NFT projects,none,0
86,79c365b2-7d85-5f51-8f71-0ce18d8cfdce,Back-End (Python/Django) Developer (Swedish product),elasticsearch; postgresql; python,3
87,7a88be53-dd19-5a6b-8f16-035646ce0b32,Junior Data Engineer,none,0
88,7ac2ee1f-5ca0-5da5-ac59-3c3efe161015,Senior Python developer (with AWS /Azure/Google Cloud certification),azure; python; terraform,3
89,7b527f95-e28b-542c-926b-37dccacda50f,Senior Data Engineer,machine learning; python; sql,3
90,7b643574-69f4-5d0f-b76e-8c7bcf974aa4,AI / Neural Networks Team Lead,machine learning; natural language processing; python,3
91,7bc9aee7-dcfd-5670-bbea-2f50aabbde9a,Fullstack Developer (Sweden),docker; kubernetes; python; sql,4
92,7befe1c4-9113-5968-b5d1-8da57b6a30b2,Backend Developer. High Frequency Trading and Stat Arb,python,1
93,7c5714c8-267c-5789-a3be-d3f1727a5105,Software-Developer for Platform Security,azure; docker; git; kubernetes; python; terraform,6
94,7dd87c4a-4482-55e0-b396-a40a12d097a0,Full Stack Web Developer,python; sql,2
95,7f543f63-31af-57cb-964c-928e3d962e14,Data Engineer,machine learning; python; scikit-learn; sql,4
96,8234e0b4-e7ac-553d-b334-38f12e811d9a,Backend Engineer,azure; docker; python,3
97,84b56fa7-b07b-5ddc-b95b-4ffd2cc08f9f,Backend Developer (Helsinki),amazon web services; mongodb; python,3
98,86ae7428-f475-54cd-9aff-4fb1a5b7a407,Python Developer / Django Developer,postgresql; python,2
99,89b39015-0c1d-5641-8a8c-92644174098c,Data Scientist,docker; git; machine learning; python; sql,5
100,8f2b0675-aeb6-5e93-a85d-ba3cc578fad2,Machine Learning Engineer,natural language processing; pandas; python; sql,4
