Annotation order,id,Position,System A missed labels,Recovered by System B,System B residual missed labels
91,7bc9aee7-dcfd-5670-bbea-2f50aabbde9a,Fullstack Developer (Sweden),google cloud platform,google cloud platform,none
92,7befe1c4-9113-5968-b5d1-8da57b6a30b2,Backend Developer. High Frequency Trading and Stat Arb,amazon web services,amazon web services,none
93,7c5714c8-267c-5789-a3be-d3f1727a5105,Software-Developer for Platform Security,none,none,none
94,7dd87c4a-4482-55e0-b396-a40a12d097a0,Full Stack Web Developer,amazon web services,amazon web services,none
95,7f543f63-31af-57cb-964c-928e3d962e14,Data Engineer,amazon web services; apache airflow; apache spark; google cloud platform; kubernetes,amazon web services; apache airflow; apache spark; google cloud platform,kubernetes
96,8234e0b4-e7ac-553d-b334-38f12e811d9a,Backend Engineer,amazon web services; google cloud platform; mongodb,amazon web services; google cloud platform,mongodb
97,84b56fa7-b07b-5ddc-b95b-4ffd2cc08f9f,Backend Developer (Helsinki),none,none,none
98,86ae7428-f475-54cd-9aff-4fb1a5b7a407,Python Developer / Django Developer,google cloud platform; kubernetes,google cloud platform; kubernetes,none
99,89b39015-0c1d-5641-8a8c-92644174098c,Data Scientist,google cloud platform; kubernetes,kubernetes,google cloud platform
100,8f2b0675-aeb6-5e93-a85d-ba3cc578fad2,Machine Learning Engineer,apache spark; machine learning; scikit-learn,apache spark; machine learning; scikit-learn,none
