Annotation order,id,Position,Gold skills,System A predictions,System B predictions,System A TP labels,System A FP labels,System A FN labels,System A TP,System A FP,System A FN,System A Exact set match,System B TP labels,System B FP labels,System B FN labels,System B TP,System B FP,System B FN,System B Exact set match
26,2c2d9912-e7ea-575c-8c5d-67d0601cd2ba,Strong Junior or Middle ML Engineer for RaccoonDoc IDP,amazon web services; azure; docker; machine learning; natural language processing; python,amazon web services; azure; docker; machine learning; natural language processing; python,amazon web services; azure; docker; machine learning; natural language processing; python,amazon web services; azure; docker; machine learning; natural language processing; python,none,none,6,0,0,True,amazon web services; azure; docker; machine learning; natural language processing; python,none,none,6,0,0,True
27,2c6a15a2-1902-59f7-a856-04c476b7c10f,Senior Big Data Engineer for Consumer Reporting Company,google cloud platform; python; sql; terraform,python; sql; terraform,google cloud platform; python; sql; terraform,python; sql; terraform,none,google cloud platform,3,0,1,False,google cloud platform; python; sql; terraform,none,none,4,0,0,True
28,2cd87f9f-2344-5f4a-8116-478cee403b91,Senior Data Engineer,python,python,python,python,none,none,1,0,0,True,python,none,none,1,0,0,True
29,2e2e86b8-9bd7-5275-9596-0edd9dd7c208,Back-end Developer (Python),mongodb; postgresql; python,mongodb; postgresql; python,mongodb; postgresql; python,mongodb; postgresql; python,none,none,3,0,0,True,mongodb; postgresql; python,none,none,3,0,0,True
30,2eb6bd61-5c73-57d2-bc25-f532c6245797,Machine Learning Engineer,machine learning; python,python,machine learning; python,python,none,machine learning,1,0,1,False,machine learning; python,none,none,2,0,0,True
31,3352912d-82a4-5bbd-9127-8fbc78449742,Jr. Software Developer,amazon web services; azure; google cloud platform; python,azure; python,amazon web services; azure; google cloud platform; python,azure; python,none,amazon web services; google cloud platform,2,0,2,False,amazon web services; azure; google cloud platform; python,none,none,4,0,0,True
32,356b9dbd-2cbe-5063-82d8-39c66f5576f9,Data Platform Engineer,apache kafka; apache spark; google cloud platform; kubernetes; postgresql; terraform,kubernetes; postgresql; terraform,apache kafka; apache spark; google cloud platform; kubernetes; postgresql; terraform,kubernetes; postgresql; terraform,none,apache kafka; apache spark; google cloud platform,3,0,3,False,apache kafka; apache spark; google cloud platform; kubernetes; postgresql; terraform,none,none,6,0,0,True
33,367d8145-d3bb-511f-a184-f69337f67381,Data Engineer,apache spark; git; machine learning; pandas; python; sql,apache spark; git; machine learning; pandas; python; sql,apache spark; git; machine learning; pandas; python; sql,apache spark; git; machine learning; pandas; python; sql,none,none,6,0,0,True,apache spark; git; machine learning; pandas; python; sql,none,none,6,0,0,True
34,368f1e77-9ad5-503d-a2e5-6ebd0a0b4fe3,Python developer,amazon web services; apache kafka; mongodb; postgresql; python; sql,mongodb; python; sql,amazon web services; apache kafka; mongodb; postgresql; python; sql,mongodb; python; sql,none,amazon web services; apache kafka; postgresql,3,0,3,False,amazon web services; apache kafka; mongodb; postgresql; python; sql,none,none,6,0,0,True
35,3a6e47d0-989c-5d47-a125-08efa31c5146,"NLP Engineer, Machine Learning Engineer",machine learning; natural language processing; python; scikit-learn,machine learning; python; scikit-learn,machine learning; natural language processing; python; scikit-learn,machine learning; python; scikit-learn,none,natural language processing,3,0,1,False,machine learning; natural language processing; python; scikit-learn,none,none,4,0,0,True
36,3b0792ff-68f7-52d1-ad81-3b2104877c07,Data Analyst,google cloud platform; postgresql; python; sql,postgresql; python; sql,google cloud platform; postgresql; python; sql,postgresql; python; sql,none,google cloud platform,3,0,1,False,google cloud platform; postgresql; python; sql,none,none,4,0,0,True
37,3d574d75-1ac4-5126-b6ca-cdff1d9e9730,Team/Tech Lead Backend Engineer,none,none,none,none,none,none,0,0,0,True,none,none,none,0,0,0,True
38,3e9c3c7a-846d-55d4-9479-2a43e03df1b1,Trainee Database Developer,sql,sql,sql,sql,none,none,1,0,0,True,sql,none,none,1,0,0,True
39,3feaac25-4519-59ae-bb67-d944f1510c63,Middle+/Senior Python developer,apache spark; git; postgresql; python,git; postgresql; python,apache spark; git; postgresql; python,git; postgresql; python,none,apache spark,3,0,1,False,apache spark; git; postgresql; python,none,none,4,0,0,True
40,40ebcd9b-c5c8-56ff-8ce1-dc4d2f063d37,Matlab Engineer,git; machine learning,git,git; machine learning,git,none,machine learning,1,0,1,False,git; machine learning,none,none,2,0,0,True
41,45700d9b-de53-5764-acf4-adfd1110aa00,Python Software Engineer / Web3 Research Engineer,amazon web services; machine learning; python,machine learning; python,amazon web services; machine learning; python,machine learning; python,none,amazon web services,2,0,1,False,amazon web services; machine learning; python,none,none,3,0,0,True
42,46214003-5117-588e-9004-c40c12bc51d5,Data Analyst,amazon web services; git; python; sql,git; python; sql,amazon web services; git; python; sql,git; python; sql,none,amazon web services,3,0,1,False,amazon web services; git; python; sql,none,none,4,0,0,True
43,4642168b-bee2-51c2-ac21-79c1e2f16fdc,Data Science Manager,apache spark; machine learning; python; sql,machine learning; python; sql,apache spark; machine learning; python; sql,machine learning; python; sql,none,apache spark,3,0,1,False,apache spark; machine learning; python; sql,none,none,4,0,0,True
44,47cd37e2-ffe3-55fb-ae4e-fe814f20de59,Backend Engineer,google cloud platform; python,python,python,python,none,google cloud platform,1,0,1,False,python,none,google cloud platform,1,0,1,False
45,487523f9-a9e2-58d7-b46c-6d176d6572e2,Senior/Lead Python Developer,python; sql,python; sql,python; sql,python; sql,none,none,2,0,0,True,python; sql,none,none,2,0,0,True
46,48d760a5-dee2-5e68-915c-7aca027433b2,Web Analyst for PMI,sql,sql,sql,sql,none,none,1,0,0,True,sql,none,none,1,0,0,True
47,49bc7fe8-469e-5d03-b6e1-41ebe08eb4ec,Senior Software Engineer - .Net & Python,machine learning; mongodb; natural language processing; postgresql; python; sql,machine learning; mongodb; natural language processing; postgresql; python; sql,machine learning; mongodb; natural language processing; postgresql; python; sql,machine learning; mongodb; natural language processing; postgresql; python; sql,none,none,6,0,0,True,machine learning; mongodb; natural language processing; postgresql; python; sql,none,none,6,0,0,True
48,4a0cc79d-6444-58c6-8d3a-b8df8ac6057f,NLP/AI Senior Engineer,amazon web services; azure; git; google cloud platform; machine learning; natural language processing; python; sql,azure; git; python; sql,amazon web services; azure; git; google cloud platform; machine learning; natural language processing; python; sql,azure; git; python; sql,none,amazon web services; google cloud platform; machine learning; natural language processing,4,0,4,False,amazon web services; azure; git; google cloud platform; machine learning; natural language processing; python; sql,none,none,8,0,0,True
49,4ba18117-fe8a-51e1-a344-a49a17e275b9,Senior Python developer,elasticsearch; git; mongodb; postgresql; python,elasticsearch; git; postgresql; python,elasticsearch; git; mongodb; postgresql; python,elasticsearch; git; postgresql; python,none,mongodb,4,0,1,False,elasticsearch; git; mongodb; postgresql; python,none,none,5,0,0,True
50,4d207dd3-f0ce-5acc-b424-bc757dbe2653,"Full Stack Developer (Python, React+GIS skills)",azure; docker; machine learning; mongodb; postgresql; python; sql,azure; docker; machine learning; mongodb; postgresql; python; sql,azure; docker; machine learning; mongodb; postgresql; python; sql,azure; docker; machine learning; mongodb; postgresql; python; sql,none,none,7,0,0,True,azure; docker; machine learning; mongodb; postgresql; python; sql,none,none,7,0,0,True
51,4d6f28d6-c770-5ac4-94d0-e97e26b59df2,Middle  Data Science Engineer,amazon web services; power bi; python; sql,power bi; python; sql,amazon web services; power bi; python; sql,power bi; python; sql,none,amazon web services,3,0,1,False,amazon web services; power bi; python; sql,none,none,4,0,0,True
52,4d8bd07a-45e0-5539-9ec1-ed2c2a6d12d2,Data Scientist / Product Analyst,machine learning; pandas; power bi; python; scikit-learn; sql,pandas; power bi; python; scikit-learn; sql,machine learning; pandas; power bi; python; scikit-learn; sql,pandas; power bi; python; scikit-learn; sql,none,machine learning,5,0,1,False,machine learning; pandas; power bi; python; scikit-learn; sql,none,none,6,0,0,True
53,4ee8ef87-d38a-5dcb-b66d-7e4c12f8a2b6,Senior Python Developer (6 months project),amazon web services; azure; docker; git; kubernetes; mongodb; postgresql; python,azure; docker; git; kubernetes; mongodb; postgresql; python,amazon web services; azure; docker; git; kubernetes; mongodb; postgresql; python,azure; docker; git; kubernetes; mongodb; postgresql; python,none,amazon web services,7,0,1,False,amazon web services; azure; docker; git; kubernetes; mongodb; postgresql; python,none,none,8,0,0,True
54,4ffb1d33-859a-50ec-8fe8-cc38c0bc28bc,Middle Python Developer,azure; git; google cloud platform; postgresql; python,azure; git; postgresql; python,azure; git; postgresql; python,azure; git; postgresql; python,none,google cloud platform,4,0,1,False,azure; git; postgresql; python,none,google cloud platform,4,0,1,False
55,50ed4097-aeb3-5130-ae83-05b7a7385880,Senior Data Engineer,mongodb; postgresql; python; sql,mongodb; python; sql,mongodb; postgresql; python; sql,mongodb; python; sql,none,postgresql,3,0,1,False,mongodb; postgresql; python; sql,none,none,4,0,0,True
56,53c599f1-68e7-51dd-b59f-e2f4dfeebb80,CTO/Product,git; python,git; python,git; python,git; python,none,none,2,0,0,True,git; python,none,none,2,0,0,True
57,5419aff1-f72c-5606-8b9d-a496d0e7db92,Qlik/Power BI,amazon web services; azure; google cloud platform; power bi; sql,amazon web services; azure; google cloud platform; sql,amazon web services; azure; google cloud platform; power bi; sql,amazon web services; azure; google cloud platform; sql,none,power bi,4,0,1,False,amazon web services; azure; google cloud platform; power bi; sql,none,none,5,0,0,True
58,552c8b47-e978-56b8-91ab-1e81bf69c6fb,Data Engineer,amazon web services; apache spark; azure; google cloud platform; python; sql,apache spark; azure; python; sql,amazon web services; apache spark; azure; google cloud platform; python; sql,apache spark; azure; python; sql,none,amazon web services; google cloud platform,4,0,2,False,amazon web services; apache spark; azure; google cloud platform; python; sql,none,none,6,0,0,True
59,55a3634d-96a4-5258-8962-a8cc5ad295cd,Junior Machine learning / Computer vision Engineer,machine learning; python,machine learning; python,machine learning; python,machine learning; python,none,none,2,0,0,True,machine learning; python,none,none,2,0,0,True
60,577143c6-37ba-5182-9a46-d27c23968e2e,Senior Integration Engineer,amazon web services; python; sql,python; sql,amazon web services; python; sql,python; sql,none,amazon web services,2,0,1,False,amazon web services; python; sql,none,none,3,0,0,True
61,59356466-6a9c-5f08-862a-8d2d8e0c3ff7,Data Scientist,machine learning; python,machine learning; python,machine learning; python,machine learning; python,none,none,2,0,0,True,machine learning; python,none,none,2,0,0,True
62,5a61e326-71fd-569b-ac53-7e9a7291d177,ETL Specialist,amazon web services; apache airflow; python; terraform,python; terraform,amazon web services; apache airflow; python; terraform,python; terraform,none,amazon web services; apache airflow,2,0,2,False,amazon web services; apache airflow; python; terraform,none,none,4,0,0,True
63,5b069204-3826-57e8-b607-ce2781e58916,Junior Python developer,docker; git; postgresql; python; sql,docker; git; postgresql; python; sql,docker; git; postgresql; python; sql,docker; git; postgresql; python; sql,none,none,5,0,0,True,docker; git; postgresql; python; sql,none,none,5,0,0,True
64,5d972d23-7504-50ff-ae95-c933c5c65652,Data Engineer,amazon web services; apache airflow; elasticsearch; git; python,apache airflow; elasticsearch; git; python,amazon web services; apache airflow; elasticsearch; git; python,apache airflow; elasticsearch; git; python,none,amazon web services,4,0,1,False,amazon web services; apache airflow; elasticsearch; git; python,none,none,5,0,0,True
65,5fd6dbb8-c613-5af7-bfc9-3d0faacf6a2a,BI Engineer,amazon web services; machine learning; pandas; postgresql; python; sql,pandas; postgresql; python; sql,amazon web services; machine learning; pandas; postgresql; python; sql,pandas; postgresql; python; sql,none,amazon web services; machine learning,4,0,2,False,amazon web services; machine learning; pandas; postgresql; python; sql,none,none,6,0,0,True
66,5ff94982-cafe-5b3d-995d-711bb8ff6fa5,# Senior Python Developer,amazon web services; python,python,amazon web services; python,python,none,amazon web services,1,0,1,False,amazon web services; python,none,none,2,0,0,True
67,601504fe-9718-55ee-bbdc-bc1dd54f4a48,Snr MS SQL Server Engineer (with deep SSAS experience),sql,sql,sql,sql,none,none,1,0,0,True,sql,none,none,1,0,0,True
68,60dc7831-3cc8-5179-a3fb-7190657ba5d1,Strong/Middle Web Developer Python(Django),docker; postgresql; python,docker; postgresql; python,docker; postgresql; python,docker; postgresql; python,none,none,3,0,0,True,docker; postgresql; python,none,none,3,0,0,True
69,63c88e34-4290-5c7f-9244-e917f9ab2055,Senior Data Engineer (Python),docker; git; google cloud platform; python; terraform,docker; git; google cloud platform; python; terraform,docker; git; google cloud platform; python; terraform,docker; git; google cloud platform; python; terraform,none,none,5,0,0,True,docker; git; google cloud platform; python; terraform,none,none,5,0,0,True
70,672ccd5e-eb32-5aaa-8288-ac49e46add7a,Junior/Middle Python Developer (with C++ knowledge),git; python,git; python,git; python,git; python,none,none,2,0,0,True,git; python,none,none,2,0,0,True
71,684059e5-fe20-5fa7-ad77-74bb3694718a,Database Administrator,google cloud platform; mongodb; postgresql,mongodb,google cloud platform; mongodb,mongodb,none,google cloud platform; postgresql,1,0,2,False,google cloud platform; mongodb,none,postgresql,2,0,1,False
72,6a365c54-aa0e-53a0-966d-5f99d013468a,Data Analyst/ DWH Developer,git; postgresql; python; sql,git; postgresql; python; sql,git; postgresql; python; sql,git; postgresql; python; sql,none,none,4,0,0,True,git; postgresql; python; sql,none,none,4,0,0,True
73,6a8b8bec-783e-50f3-ada1-8ea6f8072e17,Data Scientist,python; sql,python; sql,python; sql,python; sql,none,none,2,0,0,True,python; sql,none,none,2,0,0,True
74,6a9340a8-113a-58ce-9903-f4a7c0d048a0,Cloud Engineer,azure; python,azure; python,azure; python,azure; python,none,none,2,0,0,True,azure; python,none,none,2,0,0,True
75,6b4fd424-bfcb-5d1e-8d06-46c2225af6c0,Data Analyst,machine learning; power bi; python; sql,machine learning; python; sql,machine learning; power bi; python; sql,machine learning; python; sql,none,power bi,3,0,1,False,machine learning; power bi; python; sql,none,none,4,0,0,True
76,713d83dc-e3cc-5f31-9d34-5b2f8d957167,Lead Machine Learning Engineer,machine learning; python; scikit-learn,machine learning; python; scikit-learn,machine learning; python; scikit-learn,machine learning; python; scikit-learn,none,none,3,0,0,True,machine learning; python; scikit-learn,none,none,3,0,0,True
77,717a4853-da65-57a6-b253-e2f7ed2ec443,Senior Full Stack Developer (Poland),apache kafka; postgresql; python; sql,postgresql; python; sql,apache kafka; postgresql; python; sql,postgresql; python; sql,none,apache kafka,3,0,1,False,apache kafka; postgresql; python; sql,none,none,4,0,0,True
78,72da340f-3e69-5085-a89e-e6140b3216fb,Backend Engineer,amazon web services; git; postgresql; python; sql,git; postgresql; python; sql,amazon web services; git; postgresql; python; sql,git; postgresql; python; sql,none,amazon web services,4,0,1,False,amazon web services; git; postgresql; python; sql,none,none,5,0,0,True
79,733ca3e7-8502-578b-972c-785d9522cb62,Computer vision/AI developer for Norwegian Aquatech company,machine learning; python,machine learning; python,machine learning; python,machine learning; python,none,none,2,0,0,True,machine learning; python,none,none,2,0,0,True
80,73a5455e-c53b-5e9b-9065-7132248a67e7,Senior Data Engineer (Customer behavior),amazon web services; docker; google cloud platform; kubernetes; machine learning; sql,docker; kubernetes; machine learning; sql,amazon web services; docker; google cloud platform; kubernetes; machine learning; sql,docker; kubernetes; machine learning; sql,none,amazon web services; google cloud platform,4,0,2,False,amazon web services; docker; google cloud platform; kubernetes; machine learning; sql,none,none,6,0,0,True
81,75126653-9838-5ea6-a291-fc9becb282ab,"Full-stack Python Developer (Fintech, Investments)",amazon web services; docker; postgresql; python,docker; python,amazon web services; docker; postgresql; python,docker; python,none,amazon web services; postgresql,2,0,2,False,amazon web services; docker; postgresql; python,none,none,4,0,0,True
82,77bc3ea8-0224-54cd-8d2a-3bbc5c853849,Quantitative Developer,python,python,python,python,none,none,1,0,0,True,python,none,none,1,0,0,True
83,78362cd9-b4c5-5862-bd94-8b12017ead42,Middle python developer,postgresql; python,postgresql; python,postgresql; python,postgresql; python,none,none,2,0,0,True,postgresql; python,none,none,2,0,0,True
84,784bb0e6-83f9-5596-8636-6ce7139caa72,Market Researcher,none,none,none,none,none,none,0,0,0,True,none,none,none,0,0,0,True
85,799e37b8-67c3-59e7-821a-9a72b1445475,Solidity (also Web3.js & Full Stack) developer - NFT projects,none,none,none,none,none,none,0,0,0,True,none,none,none,0,0,0,True
86,79c365b2-7d85-5f51-8f71-0ce18d8cfdce,Back-End (Python/Django) Developer (Swedish product),elasticsearch; postgresql; python,elasticsearch; postgresql; python,elasticsearch; postgresql; python,elasticsearch; postgresql; python,none,none,3,0,0,True,elasticsearch; postgresql; python,none,none,3,0,0,True
87,7a88be53-dd19-5a6b-8f16-035646ce0b32,Junior Data Engineer,none,none,none,none,none,none,0,0,0,True,none,none,none,0,0,0,True
88,7ac2ee1f-5ca0-5da5-ac59-3c3efe161015,Senior Python developer (with AWS /Azure/Google Cloud certification),amazon web services; apache spark; azure; google cloud platform; power bi; python; terraform,azure; python; terraform,amazon web services; apache spark; azure; power bi; python; terraform,azure; python; terraform,none,amazon web services; apache spark; google cloud platform; power bi,3,0,4,False,amazon web services; apache spark; azure; power bi; python; terraform,none,google cloud platform,6,0,1,False
89,7b527f95-e28b-542c-926b-37dccacda50f,Senior Data Engineer,amazon web services; machine learning; python; sql,machine learning; python; sql,amazon web services; machine learning; python; sql,machine learning; python; sql,none,amazon web services,3,0,1,False,amazon web services; machine learning; python; sql,none,none,4,0,0,True
90,7b643574-69f4-5d0f-b76e-8c7bcf974aa4,AI / Neural Networks Team Lead,machine learning; natural language processing; python,machine learning; natural language processing; python,machine learning; natural language processing; python,machine learning; natural language processing; python,none,none,3,0,0,True,machine learning; natural language processing; python,none,none,3,0,0,True
91,7bc9aee7-dcfd-5670-bbea-2f50aabbde9a,Fullstack Developer (Sweden),docker; google cloud platform; kubernetes; python; sql,docker; kubernetes; python; sql,docker; google cloud platform; kubernetes; python; sql,docker; kubernetes; python; sql,none,google cloud platform,4,0,1,False,docker; google cloud platform; kubernetes; python; sql,none,none,5,0,0,True
92,7befe1c4-9113-5968-b5d1-8da57b6a30b2,Backend Developer. High Frequency Trading and Stat Arb,amazon web services; python,python,amazon web services; python,python,none,amazon web services,1,0,1,False,amazon web services; python,none,none,2,0,0,True
93,7c5714c8-267c-5789-a3be-d3f1727a5105,Software-Developer for Platform Security,azure; docker; git; kubernetes; python; terraform,azure; docker; git; kubernetes; python; terraform,azure; docker; git; kubernetes; python; terraform,azure; docker; git; kubernetes; python; terraform,none,none,6,0,0,True,azure; docker; git; kubernetes; python; terraform,none,none,6,0,0,True
94,7dd87c4a-4482-55e0-b396-a40a12d097a0,Full Stack Web Developer,amazon web services; python; sql,python; sql,amazon web services; python; sql,python; sql,none,amazon web services,2,0,1,False,amazon web services; python; sql,none,none,3,0,0,True
95,7f543f63-31af-57cb-964c-928e3d962e14,Data Engineer,amazon web services; apache airflow; apache spark; google cloud platform; kubernetes; machine learning; python; scikit-learn; sql,machine learning; python; scikit-learn; sql,amazon web services; apache airflow; apache spark; google cloud platform; machine learning; python; scikit-learn; sql,machine learning; python; scikit-learn; sql,none,amazon web services; apache airflow; apache spark; google cloud platform; kubernetes,4,0,5,False,amazon web services; apache airflow; apache spark; google cloud platform; machine learning; python; scikit-learn; sql,none,kubernetes,8,0,1,False
96,8234e0b4-e7ac-553d-b334-38f12e811d9a,Backend Engineer,amazon web services; azure; docker; google cloud platform; mongodb; python,azure; docker; python,amazon web services; azure; docker; google cloud platform; python,azure; docker; python,none,amazon web services; google cloud platform; mongodb,3,0,3,False,amazon web services; azure; docker; google cloud platform; python,none,mongodb,5,0,1,False
97,84b56fa7-b07b-5ddc-b95b-4ffd2cc08f9f,Backend Developer (Helsinki),amazon web services; mongodb; python,amazon web services; mongodb; python,amazon web services; mongodb; python,amazon web services; mongodb; python,none,none,3,0,0,True,amazon web services; mongodb; python,none,none,3,0,0,True
98,86ae7428-f475-54cd-9aff-4fb1a5b7a407,Python Developer / Django Developer,google cloud platform; kubernetes; postgresql; python,postgresql; python,google cloud platform; kubernetes; postgresql; python,postgresql; python,none,google cloud platform; kubernetes,2,0,2,False,google cloud platform; kubernetes; postgresql; python,none,none,4,0,0,True
99,89b39015-0c1d-5641-8a8c-92644174098c,Data Scientist,docker; git; google cloud platform; kubernetes; machine learning; python; sql,docker; git; machine learning; python; sql,docker; git; kubernetes; machine learning; python; sql,docker; git; machine learning; python; sql,none,google cloud platform; kubernetes,5,0,2,False,docker; git; kubernetes; machine learning; python; sql,none,google cloud platform,6,0,1,False
100,8f2b0675-aeb6-5e93-a85d-ba3cc578fad2,Machine Learning Engineer,apache spark; machine learning; natural language processing; pandas; python; scikit-learn; sql,natural language processing; pandas; python; sql,apache spark; machine learning; natural language processing; pandas; python; scikit-learn; sql,natural language processing; pandas; python; sql,none,apache spark; machine learning; scikit-learn,4,0,3,False,apache spark; machine learning; natural language processing; pandas; python; scikit-learn; sql,none,none,7,0,0,True
